ID,NAME,TYPE,STATUS,BGG_LINK,CREATED_AT,UPDATED_AT
1,The Crew: The Quest for Planet Nine,BASEGAME,OWN,https://boardgamegeek.com/boardgame/284083/the-crew-the-quest-for-planet-nine,2026-03-22T10:23:45.099102,2026-03-22T10:23:45.099102
2,The Crew: Mission Deep Sea,BASEGAME,OWN,https://boardgamegeek.com/boardgame/324856/the-crew-mission-deep-sea,2026-03-22T10:24:03.120184,2026-03-22T10:24:03.120184
3,The Crew: Family Adventure,BASEGAME,OWN,https://boardgamegeek.com/boardgame/406299/the-crew-family-adventure,2026-03-22T10:24:25.876117,2026-03-22T10:24:25.876117
4,Courtisans,BASEGAME,OWN,https://boardgamegeek.com/boardgame/402283/courtisans,2026-03-22T10:30:56.481784,2026-03-22T10:30:56.481784
5,DreamEscape,BASEGAME,OWN,https://boardgamegeek.com/boardgame/279968/dreamescape,2026-03-22T15:55:50.468148,2026-03-23T17:48:52.182273
6,DreamEscape: Ooth Nargai Realm Expansion,EXPANSION,OWN,https://boardgamegeek.com/boardgameexpansion/460296/dreamescape-ooth-nargai-realm-expansion,2026-03-22T15:56:43.944481,2026-03-22T15:56:43.944481
7,DreamEscape: Sarkomand Realm expansion,EXPANSION,OWN,https://boardgamegeek.com/boardgameexpansion/460295/dreamescape-sarkomand-realm-expansion,2026-03-22T15:57:05.793019,2026-03-22T15:57:05.793019
8,DreamEscape: Black Galleys Expansion,EXPANSION,OWN,https://boardgamegeek.com/boardgameexpansion/460294/dreamescape-black-galleys-expansion,2026-03-22T15:57:25.688979,2026-03-22T15:57:25.688979
9,DreamEscape: Plateau of Leng Realm expansion,EXPANSION,OWN,https://boardgamegeek.com/boardgameexpansion/460293/dreamescape-plateau-of-leng-realm-expansion,2026-03-22T15:57:49.587806,2026-03-22T15:57:49.587806
10,Anachrony,BASEGAME,OWN,https://boardgamegeek.com/boardgame/185343/anachrony,2026-03-23T17:17:00.622521,2026-03-23T18:25:27.223167
11,Anachrony: Exosuit Commander Pack,EXPANSION,OWN,https://boardgamegeek.com/boardgameexpansion/218791/anachrony-exosuit-commander-pack,2026-03-23T17:17:48.830279,2026-03-23T17:17:48.830279
12,Anachrony: Fractures of Time,EXPANSION,OWN,https://boardgamegeek.com/boardgameexpansion/272077/anachrony-fractures-of-time,2026-03-23T17:18:13.798884,2026-03-23T17:18:13.798884
13,Anachrony: Future Imperfect,EXPANSION,OWN,https://boardgamegeek.com/boardgameexpansion/286574/anachrony-future-imperfect,2026-03-23T17:18:52.237656,2026-03-23T17:18:52.237656
14,Anachrony: Classic Expansion Pack,EXPANSION,OWN,https://boardgamegeek.com/boardgameexpansion/297528/anachrony-classic-expansion-pack,2026-03-23T17:20:03.679501,2026-03-23T17:20:03.679501
15,Claim,BASEGAME,OWN,https://boardgamegeek.com/boardgame/233961/claim,2026-03-23T18:46:13.160505,2026-03-23T18:46:13.160505
